"","graph.type","measure","average","std.dev"
"61","random","degree",0.0391919191919192,0.0190617920257875
"62","random","degree",0.0325252525252525,0.020684973066398
"63","random","degree",0.0373737373737374,0.0202275117203021
"64","random","degree",0.0404040404040404,0.0209040356032615
"65","random","degree",0.0422222222222222,0.0187400831225281
"66","random","degree",0.0365656565656566,0.0197782301873004
"67","random","degree",0.0446464646464646,0.0215918227210393
"68","random","degree",0.0385858585858586,0.0188497521481789
"69","random","degree",0.0438383838383838,0.0208655446290076
"70","random","degree",0.0462626262626263,0.0218763372218095
"71","random","degree",0.0404040404040404,0.0194747152991575
"72","random","degree",0.04,0.0206020990448193
"73","random","degree",0.0367676767676768,0.0180189739532117
"74","random","degree",0.0404040404040404,0.0194747152991575
"75","random","degree",0.0424242424242424,0.0188289641863847
"76","random","degree",0.042020202020202,0.0222287141179247
"77","random","degree",0.0357575757575758,0.0200699694035106
"78","random","degree",0.0331313131313131,0.0192661504299783
"79","random","degree",0.0383838383838384,0.0180464070682384
"80","random","degree",0.0391919191919192,0.0206201000085373
"81","random","degree",0.042020202020202,0.0215698550546087
"82","random","degree",0.0393939393939394,0.0198157126533695
"83","random","degree",0.0361616161616162,0.0181136701977149
"84","random","degree",0.0371717171717172,0.0184909497882101
"85","random","degree",0.0385858585858586,0.0197573758687772
"86","random","degree",0.0377777777777778,0.0190260744725118
"87","random","degree",0.0345454545454545,0.0191103901976963
"88","random","degree",0.0391919191919192,0.0196475275437191
"89","random","degree",0.0363636363636364,0.018608734806943
"90","random","degree",0.0377777777777778,0.0181386875204756
"91","random","degree",0.0416161616161616,0.0199597760610369
"92","random","degree",0.0375757575757576,0.0199494465172819
"93","random","degree",0.0335353535353535,0.0177516016211149
"94","random","degree",0.0412121212121212,0.0200833161887413
"95","random","degree",0.0383838383838384,0.0187741490360522
"96","random","degree",0.0397979797979798,0.0190369050503074
"97","random","degree",0.0424242424242424,0.0199969182382137
"98","random","degree",0.0353535353535354,0.0198676543221681
"99","random","degree",0.043030303030303,0.0220845182966083
"100","random","degree",0.035959595959596,0.0186816975116489
"101","random","closeness",0.129054305385494,0.025804198495818
"102","random","closeness",0.113691551649792,0.024753292634099
"103","random","closeness",0.181558580621811,0.0285470072968641
"104","random","closeness",0.180874823541362,0.0289334197564728
"105","random","closeness",0.192963889300655,0.0289374359777039
"106","random","closeness",0.117025722739867,0.025351046156431
"107","random","closeness",0.187199170185725,0.0289847208224713
"108","random","closeness",0.228684786304339,0.0313253856753604
"109","random","closeness",0.292980845775408,0.0370143611991355
"110","random","closeness",0.189770214992694,0.02895747233937
"111","random","closeness",0.188100882364774,0.0293071878523749
"112","random","closeness",0.229185591341494,0.0289848934852392
"113","random","closeness",0.222731191859988,0.0307662410268568
"114","random","closeness",0.146249851552455,0.0263345740314116
"115","random","closeness",0.136178793468093,0.0266386224898228
"116","random","closeness",0.134549193943185,0.0263585679322706
"117","random","closeness",0.157383821865486,0.0273895402518176
"118","random","closeness",0.0910887537356189,0.0226011880730266
"119","random","closeness",0.28699731500736,0.0398480051672451
"120","random","closeness",0.305586574827451,0.0355028409314518
"121","random","closeness",0.158172426487764,0.0282397415112682
"122","random","closeness",0.236375173446317,0.0309900443784772
"123","random","closeness",0.187331288328526,0.0291618830494232
"124","random","closeness",0.101800736926708,0.0236894477612245
"125","random","closeness",0.116091199288984,0.0249771883205946
"126","random","closeness",0.175492464294383,0.0270547802464009
"127","random","closeness",0.184739962261025,0.0282957285706801
"128","random","closeness",0.163846158762843,0.028947208169509
"129","random","closeness",0.224735984092129,0.0275325348744043
"130","random","closeness",0.184867891727858,0.0282901686372128
"131","random","closeness",0.236273465501083,0.0302347663399274
"132","random","closeness",0.127769511885265,0.0255571083614274
"133","random","closeness",0.179257664261186,0.0293901982253593
"134","random","closeness",0.154717228092498,0.0276820681000106
"135","random","closeness",0.177682686453632,0.0287355076531578
"136","random","closeness",0.292487925839708,0.0340686249335994
"137","random","closeness",0.240381374448414,0.0297767566002853
"138","random","closeness",0.133524301418313,0.0263714470146483
"139","random","closeness",0.133894165462838,0.0263821549693103
"140","random","closeness",0.227577339226816,0.0326801566401644
"141","random","closeness",0.128480811352736,0.0253200901836172
"142","random","closeness",0.220911960197246,0.0297554245790387
"143","random","closeness",0.226672780959429,0.0299776979536336
"144","random","closeness",0.189884977033549,0.0284288359842629
"145","random","closeness",0.152470151025878,0.0267248591090217
"146","random","closeness",0.246649062840835,0.0317344761291843
"147","random","closeness",0.234936114787044,0.0307210132270919
"148","random","closeness",0.211741360024448,0.0322512535302259
"149","random","closeness",0.299035784090108,0.0363435097183161
"150","random","closeness",0.181721421474263,0.0286661194404511
"151","random","closeness",0.182897352397724,0.0285088130284684
"152","random","closeness",0.187789696847175,0.02858969324572
"153","random","closeness",0.227644877503099,0.0294289338972158
"154","random","closeness",0.15565221368294,0.0276778691240257
"155","random","closeness",0.226365760480935,0.0304430930904939
"156","random","closeness",0.101293848358491,0.0236251370832067
"157","random","closeness",0.185794798002323,0.0285935718560608
"158","random","closeness",0.149838308032554,0.027037503299879
"159","random","closeness",0.129783443630354,0.0258029745063828
"160","random","closeness",0.11800721858491,0.0253353139860988
"161","random","closeness",0.220167878073861,0.0297366545949764
"162","random","closeness",0.081560921016507,0.0214554939251759
"163","random","closeness",0.12984419404101,0.0258712876606354
"164","random","closeness",0.131708706878884,0.026091032245483
"165","random","closeness",0.187108586468209,0.0280862183295021
"166","random","closeness",0.178326698672443,0.0281145606262038
"167","random","closeness",0.310791553034376,0.0333264648998855
"168","random","closeness",0.181791127649268,0.0284567823376521
"169","random","closeness",0.236205236543185,0.0299144341653065
"170","random","closeness",0.242819690020217,0.0314086195659447
"171","random","closeness",0.229236271205095,0.0297927327338833
"172","random","closeness",0.154014532832689,0.027607055312999
"173","random","closeness",0.15099001167343,0.0267511864268764
"174","random","closeness",0.154157004830521,0.0272790174673877
"175","random","closeness",0.231762635982402,0.0295032273858172
"176","random","closeness",0.182552508949753,0.0305359229017686
"177","random","closeness",0.12704529098,0.0257507568535112
"178","random","closeness",0.0973994730561133,0.0229678351300565
"179","random","closeness",0.151841697948467,0.0269638571257705
"180","random","closeness",0.15030092458689,0.0274330578571797
"181","random","closeness",0.156471750149543,0.0280039024655577
"182","random","closeness",0.153732343453541,0.0272999309059313
"183","random","closeness",0.148272851835222,0.0265747637539908
"184","random","closeness",0.216102622931112,0.0298269239857145
"185","random","closeness",0.153026770721613,0.0272797011041597
"186","random","closeness",0.152235826740684,0.0270742355101699
"187","random","closeness",0.0982237085699015,0.0230086491594596
"188","random","closeness",0.224148164566762,0.0299055320773814
"189","random","closeness",0.113036077769041,0.0243963900900222
"190","random","closeness",0.178207770025702,0.0281233633332353
"191","random","closeness",0.303871652637154,0.0330163554343961
"192","random","closeness",0.114634390682021,0.0249131091284389
"193","random","closeness",0.201633335142353,0.029363357763287
"194","random","closeness",0.225748729500647,0.0319662028206428
"195","random","closeness",0.114844565334424,0.0247635930900381
"196","random","closeness",0.182211764310475,0.0278567269153848
"197","random","closeness",0.155351278579029,0.028080400899308
"198","random","closeness",0.113962065652457,0.0245743267588999
"199","random","closeness",0.228895416287259,0.0313134750382814
"200","random","closeness",0.112228870511609,0.0244488887969612
"201","random","betweenness",0.0244279529993816,0.0245686374946487
"202","random","betweenness",0.0234611420325706,0.0233049338987479
"203","random","betweenness",0.0243867243867244,0.0216607157070715
"204","random","betweenness",0.0246753246753247,0.0243286201828195
"205","random","betweenness",0.0210430839002268,0.0180521666354767
"206","random","betweenness",0.0210554524840239,0.0253038022680788
"207","random","betweenness",0.022694289837147,0.0216616958844353
"208","random","betweenness",0.0239785611214183,0.0209068536537652
"209","random","betweenness",0.0252298495155638,0.0237664748422035
"210","random","betweenness",0.0219501133786848,0.0205032286029707
"211","random","betweenness",0.0224716553287982,0.0221746029194603
"212","random","betweenness",0.0237600494743352,0.0203291562110774
"213","random","betweenness",0.0251886209029066,0.0239247038317303
"214","random","betweenness",0.0265532879818594,0.0268695336028423
"215","random","betweenness",0.0204267161410019,0.017862295615962
"216","random","betweenness",0.0212822098536384,0.0180155885175451
"217","random","betweenness",0.0217048031333746,0.0167885697762832
"218","random","betweenness",0.0218511647083076,0.0213692210036831
"219","random","betweenness",0.0260832817975675,0.0258167911565839
"220","random","betweenness",0.0236961451247166,0.0222092775274844
"221","random","betweenness",0.0215027829313544,0.0200466503688536
